numero_dpe,date_etablissement_dpe,date_fin_validite_dpe,etiquette_dpe,etiquette_ges,type_batiment,periode_construction,surface_habitable_logement,nom_commune_ban,code_insee_ban,conso_5_usages_par_m2_ep,type_parc,station
2173E0532212N,2021-10-09,2031-10-08,F,D,appartement,2013-2021,32.3,Bourg-Saint-Maurice,73054,110.8,existant,Les Arcs / Bourg-Saint-Maurice
2173E0349735E,2021-09-20,2031-09-19,D,B,appartement,1948-1974,22.7,La Plagne Tarentaise,73150,248.0,existant,La Plagne
2173E0148006J,2021-08-05,2031-08-04,E,B,appartement,1978-1982,20.9,Bourg-Saint-Maurice,73054,395.5,existant,Les Arcs / Bourg-Saint-Maurice
2173E0178110F,2021-08-14,2031-08-13,F,F,appartement,1948-1974,27.9,Tignes,73296,412.2,existant,Tignes
2173E0362626Z,2021-09-21,2031-09-20,G,C,appartement,1989-2000,54.5,Tignes,73296,545.9,existant,Tignes
2173E0595983G,2021-10-22,2031-10-21,G,C,appartement,avant 1948,37.4,Bourg-Saint-Maurice,73054,92.5,existant,Les Arcs / Bourg-Saint-Maurice
2173E0207883I,2021-08-24,2031-08-23,F,C,appartement,1978-1982,50.0,Montvalezan,73176,343.4,existant,La Rosière
2173E0188848F,2021-08-18,2031-08-17,G,G,appartement,1948-1974,60.7,Tignes,73296,513.0,existant,Tignes
2173E0180436R,2021-08-16,2031-08-15,E,C,appartement,1983-1988,17.1,Bourg-Saint-Maurice,73054,360.3,existant,Les Arcs / Bourg-Saint-Maurice
2173E0300761O,2021-09-10,2031-09-09,F,F,appartement,1948-1974,41.2,Tignes,73296,381.7,existant,Tignes
2173E0041095K,2021-07-13,2031-07-12,D,B,appartement,1989-2000,70.0,Montvalezan,73176,194.4,existant,La Rosière
2673E0085946Q,2026-01-13,2036-01-12,F,C,appartement,1989-2000,46.3,La Plagne Tarentaise,73150,391.0,existant,La Plagne
2173E0189844N,2021-08-18,2031-08-17,E,C,maison,1983-1988,155.5,La Plagne Tarentaise,73150,358.8,existant,La Plagne
2173E0313245S,2021-09-14,2031-09-13,D,B,appartement,1978-1982,42.5,La Plagne Tarentaise,73150,205.2,existant,La Plagne
2173E0123997Y,2021-07-30,2031-07-29,F,F,appartement,1975-1977,25.3,Tignes,73296,410.0,existant,Tignes
2173E0130748P,2021-08-02,2031-08-01,E,C,appartement,1978-1982,26.9,La Plagne Tarentaise,73150,379.7,existant,La Plagne
2173E0531808Z,2021-10-09,2031-10-08,E,D,appartement,2013-2021,32.5,Bourg-Saint-Maurice,73054,87.7,existant,Les Arcs / Bourg-Saint-Maurice
2173E0558377W,2021-10-05,2031-10-04,D,B,appartement,2013-2021,40.1,Bourg-Saint-Maurice,73054,85.8,existant,Les Arcs / Bourg-Saint-Maurice
2173E0642512V,2021-11-05,2031-11-04,G,C,appartement,1975-1977,27.7,Bourg-Saint-Maurice,73054,461.5,existant,Les Arcs / Bourg-Saint-Maurice
