id,date,annee,mois,prix,nature_mutation,vefa,codtypbien,type_bien,surface_m2,code_commune,nb_lots,nb_appartements,nb_maisons,commune,prix_m2,altitude,station
5980727,2018-12-12,2018,12,109400.0,Vente,False,121,UN APPARTEMENT,28.0,73150,1,1,0,La Plagne Tarentaise,3907.14,2114,La Plagne
5986296,2018-11-12,2018,11,108000.0,Vente,False,121,UN APPARTEMENT,16.0,73304,1,1,0,Val-d-Isère,6750.0,1817,Val d'Isère
5968974,2018-07-20,2018,7,452000.0,Vente,False,111,UNE MAISON,144.0,73197,1,0,1,Peisey-Nancroix,3138.89,1364,Peisey-Vallandry
5983030,2018-07-31,2018,7,120000.0,Vente,False,121,UN APPARTEMENT,32.0,73054,1,1,0,Bourg-Saint-Maurice,3750.0,1604,Les Arcs / Bourg-Saint-Maurice
5999538,2018-10-05,2018,10,85300.0,Vente,False,121,UN APPARTEMENT,30.0,73054,1,1,0,Bourg-Saint-Maurice,2843.33,1685,Les Arcs / Bourg-Saint-Maurice
6004807,2018-12-20,2018,12,120000.0,Vente,False,121,UN APPARTEMENT,37.0,73150,1,1,0,La Plagne Tarentaise,3243.24,1347,La Plagne
6001047,2018-11-30,2018,11,62500.0,Vente,False,121,UN APPARTEMENT,15.0,73150,1,1,0,La Plagne Tarentaise,4166.67,2054,La Plagne
6002568,2018-08-09,2018,8,168905.0,Vente,False,111,UNE MAISON,45.0,73054,1,0,1,Bourg-Saint-Maurice,3753.44,1272,Les Arcs / Bourg-Saint-Maurice
6004077,2018-10-05,2018,10,74500.0,Vente,False,121,UN APPARTEMENT,27.0,73150,1,1,0,La Plagne Tarentaise,2759.26,1374,La Plagne
6000760,2018-10-12,2018,10,120000.0,Vente,False,121,UN APPARTEMENT,54.0,73197,1,1,0,Peisey-Nancroix,2222.22,1313,Peisey-Vallandry
6003404,2018-10-05,2018,10,48380.0,Vente,False,121,UN APPARTEMENT,27.0,73054,1,1,0,Bourg-Saint-Maurice,1791.85,1715,Les Arcs / Bourg-Saint-Maurice
6006261,2018-11-06,2018,11,200000.0,Vente,False,121,UN APPARTEMENT,21.0,73304,2,1,0,Val-d-Isère,9523.81,1844,Val d'Isère
6006614,2018-12-10,2018,12,54710.0,Vente,False,121,UN APPARTEMENT,21.0,73150,2,1,0,La Plagne Tarentaise,2605.24,1936,La Plagne
6006968,2018-07-03,2018,7,77500.0,Vente,False,121,UN APPARTEMENT,27.0,73054,1,1,0,Bourg-Saint-Maurice,2870.37,1715,Les Arcs / Bourg-Saint-Maurice
